,img,label
0,/home/deveshdatwani/Tutorials/datasets/fire_dataset/fire_images/fire.432.png,1
1,/home/deveshdatwani/Tutorials/datasets/fire_dataset/fire_images/fire.543.png,1
2,/home/deveshdatwani/Tutorials/datasets/fire_dataset/fire_images/fire.95.png,1
3,/home/deveshdatwani/Tutorials/datasets/fire_dataset/fire_images/fire.537.png,1
4,/home/deveshdatwani/Tutorials/datasets/fire_dataset/fire_images/fire.125.png,1
5,/home/deveshdatwani/Tutorials/datasets/fire_dataset/fire_images/fire.158.png,1
6,/home/deveshdatwani/Tutorials/datasets/fire_dataset/fire_images/fire.633.png,1
7,/home/deveshdatwani/Tutorials/datasets/fire_dataset/fire_images/fire.253.png,1
8,/home/deveshdatwani/Tutorials/datasets/fire_dataset/fire_images/fire.364.png,1
9,/home/deveshdatwani/Tutorials/datasets/fire_dataset/fire_images/fire.676.png,1
10,/home/deveshdatwani/Tutorials/datasets/fire_dataset/fire_images/fire.113.png,1
11,/home/deveshdatwani/Tutorials/datasets/fire_dataset/fire_images/fire.159.png,1
12,/home/deveshdatwani/Tutorials/datasets/fire_dataset/fire_images/fire.510.png,1
13,/home/deveshdatwani/Tutorials/datasets/fire_dataset/fire_images/fire.435.png,1
14,/home/deveshdatwani/Tutorials/datasets/fire_dataset/fire_images/fire.244.png,1
15,/home/deveshdatwani/Tutorials/datasets/fire_dataset/fire_images/fire.22.png,1
16,/home/deveshdatwani/Tutorials/datasets/fire_dataset/fire_images/fire.496.png,1
17,/home/deveshdatwani/Tutorials/datasets/fire_dataset/fire_images/fire.230.png,1
18,/home/deveshdatwani/Tutorials/datasets/fire_dataset/fire_images/fire.713.png,1
19,/home/deveshdatwani/Tutorials/datasets/fire_dataset/fire_images/fire.590.png,1
20,/home/deveshdatwani/Tutorials/datasets/fire_dataset/fire_images/fire.467.png,1
21,/home/deveshdatwani/Tutorials/datasets/fire_dataset/fire_images/fire.209.png,1
22,/home/deveshdatwani/Tutorials/datasets/fire_dataset/fire_images/fire.314.png,1
23,/home/deveshdatwani/Tutorials/datasets/fire_dataset/fire_images/fire.45.png,1
24,/home/deveshdatwani/Tutorials/datasets/fire_dataset/fire_images/fire.330.png,1
25,/home/deveshdatwani/Tutorials/datasets/fire_dataset/fire_images/fire.418.png,1
26,/home/deveshdatwani/Tutorials/datasets/fire_dataset/fire_images/fire.681.png,1
27,/home/deveshdatwani/Tutorials/datasets/fire_dataset/fire_images/fire.384.png,1
28,/home/deveshdatwani/Tutorials/datasets/fire_dataset/fire_images/fire.596.png,1
29,/home/deveshdatwani/Tutorials/datasets/fire_dataset/fire_images/fire.300.png,1
30,/home/deveshdatwani/Tutorials/datasets/fire_dataset/fire_images/fire.275.png,1
31,/home/deveshdatwani/Tutorials/datasets/fire_dataset/fire_images/fire.175.png,1
32,/home/deveshdatwani/Tutorials/datasets/fire_dataset/fire_images/fire.478.png,1
33,/home/deveshdatwani/Tutorials/datasets/fire_dataset/fire_images/fire.320.png,1
34,/home/deveshdatwani/Tutorials/datasets/fire_dataset/fire_images/fire.522.png,1
35,/home/deveshdatwani/Tutorials/datasets/fire_dataset/fire_images/fire.738.png,1
36,/home/deveshdatwani/Tutorials/datasets/fire_dataset/fire_images/fire.457.png,1
37,/home/deveshdatwani/Tutorials/datasets/fire_dataset/fire_images/fire.47.png,1
38,/home/deveshdatwani/Tutorials/datasets/fire_dataset/fire_images/fire.110.png,1
39,/home/deveshdatwani/Tutorials/datasets/fire_dataset/fire_images/fire.682.png,1
40,/home/deveshdatwani/Tutorials/datasets/fire_dataset/fire_images/fire.442.png,1
41,/home/deveshdatwani/Tutorials/datasets/fire_dataset/fire_images/fire.40.png,1
42,/home/deveshdatwani/Tutorials/datasets/fire_dataset/fire_images/fire.152.png,1
43,/home/deveshdatwani/Tutorials/datasets/fire_dataset/fire_images/fire.574.png,1
44,/home/deveshdatwani/Tutorials/datasets/fire_dataset/fire_images/fire.325.png,1
45,/home/deveshdatwani/Tutorials/datasets/fire_dataset/fire_images/fire.628.png,1
46,/home/deveshdatwani/Tutorials/datasets/fire_dataset/fire_images/fire.639.png,1
47,/home/deveshdatwani/Tutorials/datasets/fire_dataset/fire_images/fire.301.png,1
48,/home/deveshdatwani/Tutorials/datasets/fire_dataset/fire_images/fire.624.png,1
49,/home/deveshdatwani/Tutorials/datasets/fire_dataset/fire_images/fire.715.png,1
50,/home/deveshdatwani/Tutorials/datasets/fire_dataset/fire_images/fire.122.png,1
51,/home/deveshdatwani/Tutorials/datasets/fire_dataset/fire_images/fire.193.png,1
52,/home/deveshdatwani/Tutorials/datasets/fire_dataset/fire_images/fire.144.png,1
53,/home/deveshdatwani/Tutorials/datasets/fire_dataset/fire_images/fire.604.png,1
54,/home/deveshdatwani/Tutorials/datasets/fire_dataset/fire_images/fire.202.png,1
55,/home/deveshdatwani/Tutorials/datasets/fire_dataset/fire_images/fire.15.png,1
56,/home/deveshdatwani/Tutorials/datasets/fire_dataset/fire_images/fire.752.png,1
57,/home/deveshdatwani/Tutorials/datasets/fire_dataset/fire_images/fire.417.png,1
58,/home/deveshdatwani/Tutorials/datasets/fire_dataset/fire_images/fire.597.png,1
59,/home/deveshdatwani/Tutorials/datasets/fire_dataset/fire_images/fire.303.png,1
60,/home/deveshdatwani/Tutorials/datasets/fire_dataset/fire_images/fire.157.png,1
61,/home/deveshdatwani/Tutorials/datasets/fire_dataset/fire_images/fire.500.png,1
62,/home/deveshdatwani/Tutorials/datasets/fire_dataset/fire_images/fire.277.png,1
63,/home/deveshdatwani/Tutorials/datasets/fire_dataset/fire_images/fire.464.png,1
64,/home/deveshdatwani/Tutorials/datasets/fire_dataset/fire_images/fire.187.png,1
65,/home/deveshdatwani/Tutorials/datasets/fire_dataset/fire_images/fire.618.png,1
66,/home/deveshdatwani/Tutorials/datasets/fire_dataset/fire_images/fire.170.png,1
67,/home/deveshdatwani/Tutorials/datasets/fire_dataset/fire_images/fire.179.png,1
68,/home/deveshdatwani/Tutorials/datasets/fire_dataset/fire_images/fire.742.png,1
69,/home/deveshdatwani/Tutorials/datasets/fire_dataset/fire_images/fire.736.png,1
70,/home/deveshdatwani/Tutorials/datasets/fire_dataset/fire_images/fire.698.png,1
71,/home/deveshdatwani/Tutorials/datasets/fire_dataset/fire_images/fire.221.png,1
72,/home/deveshdatwani/Tutorials/datasets/fire_dataset/fire_images/fire.124.png,1
73,/home/deveshdatwani/Tutorials/datasets/fire_dataset/fire_images/fire.399.png,1
74,/home/deveshdatwani/Tutorials/datasets/fire_dataset/fire_images/fire.107.png,1
75,/home/deveshdatwani/Tutorials/datasets/fire_dataset/fire_images/fire.13.png,1
76,/home/deveshdatwani/Tutorials/datasets/fire_dataset/fire_images/fire.29.png,1
77,/home/deveshdatwani/Tutorials/datasets/fire_dataset/fire_images/fire.561.png,1
78,/home/deveshdatwani/Tutorials/datasets/fire_dataset/fire_images/fire.60.png,1
79,/home/deveshdatwani/Tutorials/datasets/fire_dataset/fire_images/fire.656.png,1
